Attribute Name,Datatype
_id,ObjectId
name,String
description,String
industry,String
location,String
package,Number
salary,String
min_gpa,Number
eligibility,String
deadline,Date
role,String
roles,Array<String>
requirements,Array<String>
job_type,String
status,String
openings,Number
detailsFile,String
createdBy,ObjectId
alumni,Array<Object>
alumni.name,String
alumni.position,String
alumni.email,String
alumni.linkedin,String
alumni.batchYear,Number
alumni.department,String
alumni.yearsAtCompany,Number
alumni.userId,ObjectId
createdAt,Date
updatedAt,Date
__v,Number
